"id","code","country_code","area_code","state"
"122","+1316","US","316","Kansas"
"123","+1317","US","317","Indiana"
"124","+1318","US","318","Louisiana"
"125","+1319","US","319","Iowa"
"126","+1320","US","320","Minnesota"
"127","+1321","US","321","Florida"
"128","+1323","US","323","California"
"129","+1325","US","325","Texas"
"130","+1330","US","330","Ohio"
"131","+1331","US","331","Illinois"
"132","+1334","US","334","Alabama"
"133","+1336","US","336","North Carolina"
"134","+1337","US","337","Louisiana"
"135","+1339","US","339","Massachusetts"
"136","+1347","US","347","New York"
"137","+1351","US","351","Massachusetts"
"138","+1352","US","352","Florida"
"139","+1360","US","360","Washington"
"140","+1361","US","361","Texas"
"141","+1364","US","364","Kentucky"
"142","+1380","US","380","Ohio"
"143","+1385","US","385","Utah"
"144","+1386","US","386","Florida"
"145","+1401","US","401","Rhode Island"
"146","+1402","US","402","Nebraska"
"147","+1404","US","404","Georgia"
"148","+1405","US","405","Oklahoma"
"149","+1406","US","406","Montana"
"150","+1407","US","407","Florida"
"151","+1408","US","408","California"
"152","+1409","US","409","Texas"
"153","+1410","US","410","Maryland"
"154","+1412","US","412","Pennsylvania"
"155","+1413","US","413","Massachusetts"
"156","+1414","US","414","Wisconsin"
"157","+1415","US","415","California"
"158","+1417","US","417","Missouri"
"159","+1419","US","419","Ohio"
"160","+1423","US","423","Tennessee"
"161","+1424","US","424","California"
"162","+1425","US","425","Washington"
"163","+1430","US","430","Texas"
"164","+1432","US","432","Texas"
"165","+1434","US","434","Virginia"
"166","+1435","US","435","Utah"
"167","+1440","US","440","Ohio"
"168","+1442","US","442","California"
"169","+1443","US","443","Maryland"
"170","+1445","US","445","Pennsylvania"
"171","+1458","US","458","Oregon"
"172","+1469","US","469","Texas"
"173","+1470","US","470","Georgia"
"174","+1475","US","475","Connecticut"
"175","+1478","US","478","Georgia"
"176","+1479","US","479","Arkansas"
"177","+1480","US","480","Arizona"
"178","+1484","US","484","Pennsylvania"
"179","+1501","US","501","Arkansas"
"180","+1502","US","502","Kentucky"
"181","+1503","US","503","Oregon"
"182","+1504","US","504","Louisiana"
"183","+1505","US","505","New Mexico"
"184","+1507","US","507","Minnesota"
"185","+1508","US","508","Massachusetts"
"186","+1509","US","509","Washington"
"187","+1510","US","510","California"
"188","+1512","US","512","Texas"
"189","+1513","US","513","Ohio"
"190","+1515","US","515","Iowa"
"191","+1516","US","516","New York"
"192","+1517","US","517","Michigan"
"193","+1518","US","518","New York"
"194","+1520","US","520","Arizona"
"195","+1530","US","530","California"
"196","+1531","US","531","Nebraska"
"197","+1534","US","534","Wisconsin"
"198","+1540","US","540","Virginia"
"199","+1541","US","541","Oregon"
"200","+1551","US","551","New Jersey"
"201","+1559","US","559","California"
"202","+1561","US","561","Florida"
"203","+1562","US","562","California"
"204","+1563","US","563","Iowa"
"205","+1564","US","564","Washington"
"206","+1567","US","567","Ohio"
"207","+1570","US","570","Pennsylvania"
"208","+1571","US","571","Virginia"
"209","+1573","US","573","Missouri"
"210","+1574","US","574","Indiana"
"211","+1575","US","575","New Mexico"
"212","+1580","US","580","Oklahoma"
"213","+1585","US","585","New York"
"214","+1586","US","586","Michigan"
"215","+1601","US","601","Mississippi"
"216","+1602","US","602","Arizona"
"217","+1603","US","603","New Hampshire"
"218","+1605","US","605","South Dakota"
"219","+1606","US","606","Kentucky"
"220","+1607","US","607","New York"
"221","+1608","US","608","Wisconsin"
"222","+1609","US","609","New Jersey"
"223","+1610","US","610","Pennsylvania"
"224","+1612","US","612","Minnesota"
"225","+1614","US","614","Ohio"
"226","+1615","US","615","Tennessee"
"227","+1616","US","616","Michigan"
"228","+1617","US","617","Massachusetts"
"229","+1618","US","618","Illinois"
"230","+1619","US","619","California"
"231","+1620","US","620","Kansas"
"232","+1623","US","623","Arizona"
"233","+1626","US","626","California"
"234","+1628","US","628","California"
"235","+1630","US","630","Illinois"
"236","+1631","US","631","New York"
"237","+1636","US","636","Missouri"
"238","+1641","US","641","Iowa"
"239","+1646","US","646","New York"
"240","+1650","US","650","California"
"241","+1651","US","651","Minnesota"
"242","+1657","US","657","California"
"243","+1660","US","660","Missouri"
"244","+1661","US","661","California"
"245","+1662","US","662","Mississippi"
"246","+1667","US","667","Maryland"
"247","+1669","US","669","California"
"248","+1678","US","678","Georgia"
"249","+1681","US","681","West Virginia"
"250","+1682","US","682","Texas"
"251","+1701","US","701","North Dakota"
"252","+1702","US","702","Nevada"
"253","+1703","US","703","Virginia"
"254","+1704","US","704","North Carolina"
"255","+1706","US","706","Georgia"
"256","+1707","US","707","California"
"257","+1708","US","708","Illinois"
"258","+1712","US","712","Iowa"
"259","+1713","US","713","Texas"
"260","+1714","US","714","California"
"261","+1715","US","715","Wisconsin"
"262","+1716","US","716","New York"
"263","+1717","US","717","Pennsylvania"
"264","+1718","US","718","New York"
"265","+1719","US","719","Colorado"
"266","+1720","US","720","Colorado"
"267","+1724","US","724","Pennsylvania"
"268","+1727","US","727","Florida"
"269","+1731","US","731","Tennessee"
"270","+1732","US","732","New Jersey"
"271","+1734","US","734","Michigan"
"272","+1737","US","737","Texas"
"273","+1740","US","740","Ohio"
"274","+1747","US","747","California"
"275","+1754","US","754","Florida"
"276","+1757","US","757","Virginia"
"277","+1760","US","760","California"
"278","+1762","US","762","Georgia"
"279","+1763","US","763","Minnesota"
"280","+1765","US","765","Indiana"
"281","+1769","US","769","Mississippi"
"282","+1770","US","770","Georgia"
"283","+1772","US","772","Florida"
"284","+1773","US","773","Illinois"
"285","+1774","US","774","Massachusetts"
"286","+1775","US","775","Nevada"
"287","+1779","US","779","Illinois"
"288","+1781","US","781","Massachusetts"
"289","+1785","US","785","Kansas"
"290","+1786","US","786","Florida"
"291","+1801","US","801","Utah"
"292","+1802","US","802","Vermont"
"293","+1803","US","803","South Carolina"
"294","+1804","US","804","Virginia"
"295","+1805","US","805","California"
"296","+1806","US","806","Texas"
"297","+1808","US","808","Midway Atoll, Wake Island"
"298","+1810","US","810","Michigan"
"299","+1812","US","812","Indiana"
"300","+1813","US","813","Florida"
"301","+1814","US","814","Pennsylvania"
"302","+1815","US","815","Illinois"
"303","+1816","US","816","Missouri"
"304","+1817","US","817","Texas"
"305","+1818","US","818","California"
"306","+1828","US","828","North Carolina"
"307","+1830","US","830","Texas"
"308","+1831","US","831","California"
"309","+1832","US","832","Texas"
"310","+1835","US","835",
"311","+1843","US","843","South Carolina"
"312","+1845","US","845","New York"
"313","+1847","US","847","Illinois"
"314","+1848","US","848","New Jersey"
"315","+1850","US","850","Florida"
"316","+1856","US","856","New Jersey"
"317","+1857","US","857","Massachusetts"
"318","+1858","US","858","California"
"319","+1859","US","859","Kentucky"
"320","+1860","US","860","Connecticut"
"321","+1862","US","862","New Jersey"
"322","+1863","US","863","Florida"
"323","+1864","US","864","South Carolina"
"324","+1865","US","865","Tennessee"
"325","+1870","US","870","Arkansas"
"326","+1872","US","872","Illinois"
"327","+1878","US","878","Pennsylvania"
"328","+1901","US","901","Tennessee"
"329","+1903","US","903","Texas"
"330","+1904","US","904","Florida"
"331","+1906","US","906","Michigan"
"332","+1907","US","907","British Columbia"
"333","+1908","US","908","New Jersey"
"334","+1909","US","909","California"
"335","+1910","US","910","North Carolina"
"336","+1912","US","912","Georgia"
"337","+1913","US","913","Kansas"
"338","+1914","US","914","New York"
"339","+1915","US","915","Texas"
"340","+1916","US","916","California"
"341","+1917","US","917","New York"
"342","+1918","US","918","Oklahoma"
"343","+1919","US","919","North Carolina"
"344","+1920","US","920","Wisconsin"
"345","+1925","US","925","California"
"346","+1928","US","928","Arizona"
"347","+1931","US","931","Tennessee"
"348","+1936","US","936","Texas"
"349","+1937","US","937","Ohio"
"350","+1938","US","938","Alabama"
"351","+1940","US","940","Texas"
"352","+1941","US","941","Florida"
"353","+1947","US","947","Michigan"
"354","+1949","US","949","California"
"355","+1951","US","951","California"
"356","+1952","US","952","Minnesota"
"357","+1954","US","954","Florida"
"358","+1956","US","956","Texas"
"359","+1959","US","959","Connecticut"
"360","+1970","US","970","Colorado"
"361","+1971","US","971","Oregon"
"362","+1972","US","972","Texas"
"363","+1973","US","973","New Jersey"
"364","+1975","US","975","Missouri"
"365","+1978","US","978","Massachusetts"
"366","+1979","US","979","Texas"
"367","+1980","US","980","North Carolina"
"368","+1984","US","984","North Carolina"
"369","+1985","US","985","Louisiana"
"370","+1989","US","989","Michigan"
"371","+1223","US","223","Pennsylvania"
"372","+1272","US","272","Pennsylvania"
"373","+1279","US","279","California"
"374","+1332","US","332","New York"
"375","+1346","US","346","Texas"
"376","+1463","US","463","Indiana"
"377","+1539","US","539","Oklahoma"
"378","+1629","US","629","Tennessee"
"379","+1680","US","680","New York"
"380","+1725","US","725","Nevada"
"381","+1726","US","726","Texas"
"382","+1743","US","743","North Carolina"
"383","+1820","US","820","California"
"384","+1838","US","838","New York"
"385","+1854","US","854","South Carolina"
"386","+1929","US","929","New York"
"387","+1930","US","930","Indiana"
"388","+1934","US","934","New York"
"389","+1986","US","986","Idaho"
